id;code;name;cargo_class_value
1866;371121;Конструкции с металлической рамой строительные, с деревянными, древесноминеральными или древесноволокнистыми щитами;3
1867;121116;Конструкции строительные деревянные;3
1868;724293;Контакт петрова (сульфокислоты), водный раствор;3
1869;225071;Контакт черный;2
1870;391464;Контейнеры специализированные порожние собственные;3
1871;391479;Контейнеры универсальные инвентарного парка в ремонт и из ремонта;3
1872;391483;Контейнеры универсальные инвентарного парка порожние в регулировку и доставляемые до комплекта;3
1873;391159;Контейнеры универсальные новые;3
1874;391498;Контейнеры универсальные порожние собственные;3
1875;514050;Конфеты, не поименованные в алфавите;2
1876;581144;КОНФИТЮРЫ;2
